date,state,epidemiological_week_2019,epidemiological_week_2020,deaths_indeterminate_2019,deaths_respiratory_failure_2019,deaths_others_2019,deaths_pneumonia_2019,deaths_septicemia_2019,deaths_sars_2019,deaths_covid19,deaths_indeterminate_2020,deaths_respiratory_failure_2020,deaths_others_2020,deaths_pneumonia_2020,deaths_septicemia_2020,deaths_sars_2020,deaths_total_2019,deaths_total_2020,new_deaths_indeterminate_2019,new_deaths_respiratory_failure_2019,new_deaths_others_2019,new_deaths_pneumonia_2019,new_deaths_septicemia_2019,new_deaths_sars_2019,new_deaths_covid19,new_deaths_indeterminate_2020,new_deaths_respiratory_failure_2020,new_deaths_others_2020,new_deaths_pneumonia_2020,new_deaths_septicemia_2020,new_deaths_sars_2020,new_deaths_total_2019,new_deaths_total_2020
2020-01-01,AC,1,1,0,2,4,3,1,0,0,1,1,8,2,2,0,10,14,,2,4,3,1,,,1,1,8,2,2,,10,14
2020-01-02,AC,1,1,0,2,10,3,2,0,0,1,1,14,4,4,0,17,24,,,6,,1,,,,,6,2,2,,7,10
2020-01-03,AC,1,1,0,2,16,3,4,0,0,1,1,22,7,6,0,25,37,,,6,,2,,,,,8,3,2,,8,13
2020-01-04,AC,1,1,0,2,18,6,5,0,0,1,2,26,7,7,0,31,43,,,2,3,1,,,,1,4,,1,,6,6
2020-01-05,AC,1,2,0,2,24,7,5,0,0,1,3,30,11,7,0,38,52,,,6,1,,,,,1,4,4,,,7,9
2020-01-06,AC,2,2,0,2,30,8,6,0,0,1,3,35,14,10,0,46,63,,,6,1,1,,,,,5,3,3,,8,11
2020-01-07,AC,2,2,0,3,36,9,7,0,0,1,4,41,17,12,0,55,75,,1,6,1,1,,,,1,6,3,2,,9,12
2020-01-08,AC,2,2,0,3,40,12,7,0,0,1,5,47,20,13,0,62,86,,,4,3,,,,,1,6,3,1,,7,11
2020-01-09,AC,2,2,0,3,45,14,7,0,0,1,7,52,23,14,0,69,97,,,5,2,,,,,2,5,3,1,,7,11
2020-01-10,AC,2,2,0,4,48,14,8,0,0,1,9,60,25,17,0,74,112,,1,3,,1,,,,2,8,2,3,,5,15
2020-01-11,AC,2,2,0,7,54,14,9,0,0,1,9,61,26,17,0,84,114,,3,6,,1,,,,,1,1,,,10,2
2020-01-12,AC,2,3,0,7,57,20,11,0,0,1,9,67,30,18,0,95,125,,,3,6,2,,,,,6,4,1,,11,11
2020-01-13,AC,3,3,0,8,62,20,14,0,0,1,12,73,32,20,0,104,138,,1,5,,3,,,,3,6,2,2,,9,13
2020-01-14,AC,3,3,0,9,68,25,16,0,0,1,12,78,35,22,0,118,148,,1,6,5,2,,,,,5,3,2,,14,10
2020-01-15,AC,3,3,0,9,72,27,18,0,0,1,13,83,39,22,0,126,158,,,4,2,2,,,,1,5,4,,,8,10
2020-01-16,AC,3,3,0,11,76,28,18,0,0,1,13,89,40,23,0,133,166,,2,4,1,,,,,,6,1,1,,7,8
2020-01-17,AC,3,3,0,12,77,29,19,0,0,1,13,94,43,24,0,137,175,,1,1,1,1,,,,,5,3,1,,4,9
2020-01-18,AC,3,3,0,13,85,32,20,0,0,1,14,106,44,25,0,150,190,,1,8,3,1,,,,1,12,1,1,,13,15
2020-01-19,AC,3,4,0,13,88,33,21,0,0,1,16,110,45,26,0,155,198,,,3,1,1,,,,2,4,1,1,,5,8
2020-01-20,AC,4,4,0,13,93,36,22,0,0,1,16,120,48,26,0,164,211,,,5,3,1,,,,,10,3,,,9,13
2020-01-21,AC,4,4,0,13,100,36,22,0,0,1,17,128,54,26,0,171,226,,,7,,,,,,1,8,6,,,7,15
2020-01-22,AC,4,4,0,14,104,39,22,0,0,1,17,131,54,27,0,179,230,,1,4,3,,,,,,3,,1,,8,4
2020-01-23,AC,4,4,0,14,111,40,23,0,0,2,18,141,54,27,0,188,242,,,7,1,1,,,1,1,10,,,,9,12
2020-01-24,AC,4,4,0,14,118,43,25,0,0,2,19,146,56,31,0,200,254,,,7,3,2,,,,1,5,2,4,,12,12
2020-01-25,AC,4,4,0,16,125,44,25,0,0,2,19,154,59,31,0,210,265,,2,7,1,,,,,,8,3,,,10,11
2020-01-26,AC,4,5,0,17,131,49,25,0,0,2,20,162,60,32,0,222,276,,1,6,5,,,,,1,8,1,1,,12,11
2020-01-27,AC,5,5,0,18,133,50,26,0,0,2,20,167,62,32,0,227,283,,1,2,1,1,,,,,5,2,,,5,7
2020-01-28,AC,5,5,0,18,137,52,29,0,0,2,21,174,63,34,0,236,294,,,4,2,3,,,,1,7,1,2,,9,11
2020-01-29,AC,5,5,0,18,143,58,29,0,0,2,21,182,64,35,0,248,304,,,6,6,,,,,,8,1,1,,12,10
2020-01-30,AC,5,5,0,18,148,61,30,0,0,2,21,189,67,38,0,257,317,,,5,3,1,,,,,7,3,3,,9,13
2020-01-31,AC,5,5,0,18,152,64,31,0,0,3,21,192,69,40,0,265,325,,,4,3,1,,,1,,3,2,2,,8,8
2020-02-01,AC,5,5,0,19,159,66,31,1,0,3,21,201,70,41,0,276,336,,1,7,2,,1,,,,9,1,1,,11,11
2020-02-02,AC,5,6,0,19,166,71,32,1,0,4,21,209,74,42,0,289,350,,,7,5,1,,,1,,8,4,1,,13,14
2020-02-03,AC,6,6,0,20,172,72,32,1,0,4,22,214,75,44,0,297,359,,1,6,1,,,,,1,5,1,2,,8,9
2020-02-04,AC,6,6,0,21,177,73,32,1,0,4,22,220,76,46,0,304,368,,1,5,1,,,,,,6,1,2,,7,9
2020-02-05,AC,6,6,0,23,182,73,32,1,0,4,22,227,77,46,0,311,376,,2,5,,,,,,,7,1,,,7,8
2020-02-06,AC,6,6,0,25,187,75,33,1,0,4,24,235,79,48,1,321,391,,2,5,2,1,,,,2,8,2,2,1,10,15
2020-02-07,AC,6,6,0,25,190,80,33,1,0,4,27,244,80,51,1,329,407,,,3,5,,,,,3,9,1,3,,8,16
2020-02-08,AC,6,6,0,25,199,83,33,1,0,4,27,250,82,52,1,341,416,,,9,3,,,,,,6,2,1,,12,9
2020-02-09,AC,6,7,1,25,201,85,34,1,0,4,27,260,85,55,1,347,432,1,,2,2,1,,,,,10,3,3,,6,16
2020-02-10,AC,7,7,1,26,207,85,34,1,0,4,28,263,86,57,1,354,439,,1,6,,,,,,1,3,1,2,,7,7
2020-02-11,AC,7,7,1,26,215,87,35,1,0,4,28,274,87,58,1,365,452,,,8,2,1,,,,,11,1,1,,11,13
2020-02-12,AC,7,7,1,26,219,89,37,1,0,4,29,285,92,59,1,373,470,,,4,2,2,,,,1,11,5,1,,8,18
2020-02-13,AC,7,7,1,27,225,90,40,1,0,4,29,293,94,61,1,384,482,,1,6,1,3,,,,,8,2,2,,11,12
2020-02-14,AC,7,7,1,28,231,90,40,1,0,4,29,301,97,61,1,391,493,,1,6,,,,,,,8,3,,,7,11
2020-02-15,AC,7,7,1,30,236,95,42,1,0,4,31,306,102,62,1,405,506,,2,5,5,2,,,,2,5,5,1,,14,13
2020-02-16,AC,7,8,1,30,241,97,42,1,0,4,31,309,106,63,1,412,514,,,5,2,,,,,,3,4,1,,7,8
2020-02-17,AC,8,8,1,32,247,100,42,1,0,4,32,313,109,63,1,423,522,,2,6,3,,,,,1,4,3,,,11,8
2020-02-18,AC,8,8,1,32,256,102,46,1,0,4,32,319,109,64,1,438,529,,,9,2,4,,,,,6,,1,,15,7
2020-02-19,AC,8,8,1,32,263,104,47,1,0,4,32,326,111,65,1,448,539,,,7,2,1,,,,,7,2,1,,10,10
2020-02-20,AC,8,8,1,32,266,107,48,1,0,5,35,330,115,65,1,455,551,,,3,3,1,,,1,3,4,4,,,7,12
2020-02-21,AC,8,8,1,32,272,110,49,1,0,5,35,341,115,65,1,465,562,,,6,3,1,,,,,11,,,,10,11
2020-02-22,AC,8,8,2,33,276,110,52,1,0,5,35,347,115,65,1,474,568,1,1,4,,3,,,,,6,,,,9,6
2020-02-23,AC,8,9,2,33,286,114,54,1,0,5,35,353,117,68,1,490,579,,,10,4,2,,,,,6,2,3,,16,11
2020-02-24,AC,9,9,2,34,290,119,56,1,0,5,35,356,117,69,1,502,583,,1,4,5,2,,,,,3,,1,,12,4
2020-02-25,AC,9,9,2,35,298,122,57,1,0,5,35,361,119,70,1,515,591,,1,8,3,1,,,,,5,2,1,,13,8
2020-02-26,AC,9,9,2,35,306,124,59,1,0,6,36,367,124,71,1,527,605,,,8,2,2,,,1,1,6,5,1,,12,14
2020-02-27,AC,9,9,2,36,308,129,59,1,0,6,36,370,127,73,1,535,613,,1,2,5,,,,,,3,3,2,,8,8
2020-02-28,AC,9,9,2,36,313,130,59,1,0,7,38,375,131,75,1,541,627,,,5,1,,,,1,2,5,4,2,,6,14
2020-02-29,AC,9,9,2,36,313,130,59,1,0,7,38,380,131,76,2,541,634,,,,,,,,,,5,,1,1,0,7
2020-03-01,AC,9,10,2,37,318,131,59,1,0,7,38,388,135,76,2,548,646,,1,5,1,,,,,,8,4,,,7,12
2020-03-02,AC,9,10,2,38,323,134,59,1,0,7,40,393,136,77,2,557,655,,1,5,3,,,,,2,5,1,1,,9,9
2020-03-03,AC,10,10,2,38,329,135,64,1,0,7,40,400,138,81,2,569,668,,,6,1,5,,,,,7,2,4,,12,13
2020-03-04,AC,10,10,3,38,333,135,64,1,1,7,40,407,138,83,2,574,678,1,,4,,,,1,,,7,,2,,5,10
2020-03-05,AC,10,10,3,38,339,135,64,1,1,7,41,414,141,85,2,580,691,,,6,,,,,,1,7,3,2,,6,13
2020-03-06,AC,10,10,3,38,344,137,66,1,1,7,43,421,143,87,2,589,704,,,5,2,2,,,,2,7,2,2,,9,13
2020-03-07,AC,10,10,3,39,350,139,68,1,1,7,44,427,146,88,2,600,715,,1,6,2,2,,,,1,6,3,1,,11,11
2020-03-08,AC,10,11,3,41,354,141,69,1,1,7,46,432,150,88,2,609,726,,2,4,2,1,,,,2,5,4,,,9,11
2020-03-09,AC,10,11,3,44,358,142,71,1,1,7,46,440,153,91,2,619,740,,3,4,1,2,,,,,8,3,3,,10,14
2020-03-10,AC,11,11,3,44,369,145,72,2,1,7,47,444,157,93,2,635,751,,,11,3,1,1,,,1,4,4,2,,16,11
2020-03-11,AC,11,11,3,46,372,148,73,2,1,7,48,449,159,95,2,644,761,,2,3,3,1,,,,1,5,2,2,,9,10
2020-03-12,AC,11,11,5,46,383,151,75,2,1,7,49,453,163,95,2,662,770,2,,11,3,2,,,,1,4,4,,,18,9
2020-03-13,AC,11,11,5,47,389,154,75,2,1,7,50,460,168,95,2,672,783,,1,6,3,,,,,1,7,5,,,10,13
2020-03-14,AC,11,11,5,47,391,158,75,2,1,8,51,464,169,95,2,678,790,,,2,4,,,,1,1,4,1,,,6,7
2020-03-15,AC,11,12,5,48,399,163,76,2,1,8,52,468,171,97,2,693,799,,1,8,5,1,,,,1,4,2,2,,15,9
2020-03-16,AC,11,12,5,50,402,169,77,2,1,8,53,473,172,98,2,705,807,,2,3,6,1,,,,1,5,1,1,,12,8
2020-03-17,AC,12,12,6,51,409,172,78,2,1,8,53,480,173,99,2,718,816,1,1,7,3,1,,,,,7,1,1,,13,9
2020-03-18,AC,12,12,6,53,414,176,82,2,1,8,53,484,177,99,2,733,824,,2,5,4,4,,,,,4,4,,,15,8
2020-03-19,AC,12,12,6,53,416,180,85,2,1,8,53,494,180,101,2,742,839,,,2,4,3,,,,,10,3,2,,9,15
2020-03-20,AC,12,12,7,53,421,183,85,2,1,8,54,499,184,102,2,751,850,1,,5,3,,,,,1,5,4,1,,9,11
2020-03-21,AC,12,12,7,54,427,187,86,2,1,8,56,507,188,102,2,763,864,,1,6,4,1,,,,2,8,4,,,12,14
2020-03-22,AC,12,13,7,54,430,188,88,2,1,8,57,512,190,103,3,769,874,,,3,1,2,,,,1,5,2,1,1,6,10
2020-03-23,AC,12,13,7,57,432,190,88,3,1,8,57,519,193,103,3,777,884,,3,2,2,,1,,,,7,3,,,8,10
2020-03-24,AC,13,13,8,57,434,195,88,3,1,8,58,525,194,103,3,785,892,1,,2,5,,,,,1,6,1,,,8,8
2020-03-25,AC,13,13,8,57,436,200,90,3,1,8,59,532,199,104,3,794,906,,,2,5,2,,,,1,7,5,1,,9,14
2020-03-26,AC,13,13,8,57,442,202,91,3,1,8,59,534,202,105,3,803,912,,,6,2,1,,,,,2,3,1,,9,6
2020-03-27,AC,13,13,8,57,451,204,92,3,1,8,60,536,206,106,3,815,920,,,9,2,1,,,,1,2,4,1,,12,8
2020-03-28,AC,13,13,8,59,456,206,94,3,1,8,60,543,207,108,3,826,930,,2,5,2,2,,,,,7,1,2,,11,10
2020-03-29,AC,13,14,8,60,459,209,97,3,1,8,60,550,210,110,3,836,942,,1,3,3,3,,,,,7,3,2,,10,12
2020-03-30,AC,13,14,9,60,467,211,98,3,1,8,60,560,213,111,4,848,957,1,,8,2,1,,,,,10,3,1,1,12,15
2020-03-31,AC,14,14,9,61,473,215,99,3,1,8,61,564,214,111,4,860,963,,1,6,4,1,,,,1,4,1,,,12,6
2020-04-01,AC,14,14,9,61,480,220,101,3,1,8,61,567,215,111,4,874,967,,,7,5,2,,,,,3,1,,,14,4
2020-04-02,AC,14,14,9,61,485,221,101,3,1,8,62,570,217,113,4,880,975,,,5,1,,,,,1,3,2,2,,6,8
2020-04-03,AC,14,14,9,63,488,224,101,3,1,8,63,571,219,114,4,888,980,,2,3,3,,,,,1,1,2,1,,8,5
2020-04-04,AC,14,14,9,63,495,229,101,3,1,8,63,577,220,116,4,900,989,,,7,5,,,,,,6,1,2,,12,9
2020-04-05,AC,14,15,9,63,500,232,102,3,1,8,64,581,222,118,4,909,998,,,5,3,1,,,,1,4,2,2,,9,9
2020-04-06,AC,14,15,11,64,509,237,105,3,2,8,65,587,225,118,4,929,1009,2,1,9,5,3,,1,,1,6,3,,,20,11
2020-04-07,AC,15,15,11,65,513,238,106,3,3,8,65,593,229,118,4,936,1020,,1,4,1,1,,1,,,6,4,,,7,11
2020-04-08,AC,15,15,11,65,520,240,106,3,3,8,65,601,230,119,4,945,1030,,,7,2,,,,,,8,1,1,,9,10
2020-04-09,AC,15,15,11,66,523,245,107,3,3,8,66,605,231,121,4,955,1038,,1,3,5,1,,,,1,4,1,2,,10,8
2020-04-10,AC,15,15,11,67,529,247,108,3,3,8,66,608,233,121,4,965,1043,,1,6,2,1,,,,,3,2,,,10,5
2020-04-11,AC,15,15,11,67,534,252,108,3,3,8,68,612,237,124,4,975,1056,,,5,5,,,,,2,4,4,3,,10,13
2020-04-12,AC,15,16,11,67,543,257,109,3,3,8,72,619,239,124,4,990,1069,,,9,5,1,,,,4,7,2,,,15,13
2020-04-13,AC,15,16,11,67,548,259,110,3,3,8,73,627,241,126,4,998,1082,,,5,2,1,,,,1,8,2,2,,8,13
2020-04-14,AC,16,16,12,67,556,262,112,3,3,9,74,632,244,128,4,1012,1094,1,,8,3,2,,,1,1,5,3,2,,14,12
2020-04-15,AC,16,16,12,67,559,264,114,3,4,10,74,635,245,128,4,1019,1100,,,3,2,2,,1,1,,3,1,,,7,6
2020-04-16,AC,16,16,12,67,564,267,114,3,4,10,74,641,246,130,4,1027,1109,,,5,3,,,,,,6,1,2,,8,9
2020-04-17,AC,16,16,12,68,567,268,118,3,4,10,74,648,247,131,4,1036,1118,,1,3,1,4,,,,,7,1,1,,9,9
2020-04-18,AC,16,16,12,68,572,271,122,3,5,10,74,654,251,134,4,1048,1132,,,5,3,4,,1,,,6,4,3,,12,14
2020-04-19,AC,16,17,12,69,580,275,124,3,6,10,74,661,255,135,4,1063,1145,,1,8,4,2,,1,,,7,4,1,,15,13
2020-04-20,AC,16,17,12,71,583,276,125,3,7,10,74,664,256,137,4,1070,1152,,2,3,1,1,,1,,,3,1,2,,7,7
2020-04-21,AC,17,17,12,71,590,280,126,3,8,11,74,666,257,137,4,1082,1157,,,7,4,1,,1,1,,2,1,,,12,5
2020-04-22,AC,17,17,13,74,597,282,128,3,10,12,74,669,267,137,4,1097,1173,1,3,7,2,2,,2,1,,3,10,,,15,16
2020-04-23,AC,17,17,13,76,601,284,130,3,10,12,74,673,268,138,4,1107,1179,,2,4,2,2,,,,,4,1,1,,10,6
2020-04-24,AC,17,17,13,77,607,288,131,3,11,13,75,677,271,138,4,1119,1189,,1,6,4,1,,1,1,1,4,3,,,12,10
2020-04-25,AC,17,17,13,77,613,289,132,3,11,13,76,683,271,138,5,1127,1197,,,6,1,1,,,,1,6,,,1,8,8
2020-04-26,AC,17,18,13,77,625,291,132,3,13,13,77,692,273,142,5,1141,1215,,,12,2,,,2,,1,9,2,4,,14,18
2020-04-27,AC,17,18,13,79,632,292,132,3,17,14,77,699,273,142,5,1151,1227,,2,7,1,,,4,1,,7,,,,10,12
2020-04-28,AC,18,18,13,81,640,296,133,3,20,14,78,709,273,146,6,1166,1246,,2,8,4,1,,3,,1,10,,4,1,15,19
2020-04-29,AC,18,18,13,81,641,302,135,3,22,15,78,720,274,146,6,1175,1261,,,1,6,2,,2,1,,11,1,,,9,15
2020-04-30,AC,18,18,13,81,648,307,138,3,23,15,79,727,275,146,6,1190,1271,,,7,5,3,,1,,1,7,1,,,15,10
2020-05-01,AC,18,18,13,83,660,311,140,3,24,15,82,730,276,146,6,1210,1279,,2,12,4,2,,1,,3,3,1,,,20,8
2020-05-02,AC,18,18,13,84,664,316,142,3,27,15,84,739,277,146,6,1222,1294,,1,4,5,2,,3,,2,9,1,,,12,15
2020-05-03,AC,18,19,13,85,668,317,144,3,29,15,85,748,278,147,6,1230,1308,,1,4,1,2,,2,,1,9,1,1,,8,14
2020-05-04,AC,18,19,13,85,674,318,144,3,30,15,85,752,280,147,6,1237,1315,,,6,1,,,1,,,4,2,,,7,7
2020-05-05,AC,19,19,13,85,681,323,146,3,35,16,87,755,283,148,6,1251,1330,,,7,5,2,,5,1,2,3,3,1,,14,15
2020-05-06,AC,19,19,13,86,689,325,148,3,38,16,88,761,285,148,6,1264,1342,,1,8,2,2,,3,,1,6,2,,,13,12
2020-05-07,AC,19,19,13,86,694,325,149,3,40,17,91,765,288,148,6,1270,1355,,,5,,1,,2,1,3,4,3,,,6,13
2020-05-08,AC,19,19,13,87,700,326,149,3,41,17,92,775,291,149,6,1278,1371,,1,6,1,,,1,,1,10,3,1,,8,16
2020-05-09,AC,19,19,13,87,705,327,150,3,44,17,92,780,291,150,6,1285,1380,,,5,1,1,,3,,,5,,1,,7,9
2020-05-10,AC,19,20,13,87,709,329,153,3,48,17,93,785,293,151,6,1294,1393,,,4,2,3,,4,,1,5,2,1,,9,13
2020-05-11,AC,19,20,13,87,718,333,156,3,53,17,94,793,295,151,6,1310,1409,,,9,4,3,,5,,1,8,2,,,16,16
2020-05-12,AC,20,20,13,88,726,338,157,3,55,17,94,800,298,154,6,1325,1424,,1,8,5,1,,2,,,7,3,3,,15,15
2020-05-13,AC,20,20,14,89,733,339,158,3,56,18,94,806,301,154,6,1336,1435,1,1,7,1,1,,1,1,,6,3,,,11,11
2020-05-14,AC,20,20,14,91,737,342,159,3,60,18,94,814,303,155,6,1346,1450,,2,4,3,1,,4,,,8,2,1,,10,15
2020-05-15,AC,20,20,14,91,741,342,162,3,62,18,94,817,306,155,6,1353,1458,,,4,,3,,2,,,3,3,,,7,8
2020-05-16,AC,20,20,15,91,747,346,163,3,64,18,94,818,309,156,6,1365,1465,1,,6,4,1,,2,,,1,3,1,,12,7
2020-05-17,AC,20,21,16,91,750,349,165,3,71,18,94,825,313,159,6,1374,1486,1,,3,3,2,,7,,,7,4,3,,9,21
2020-05-18,AC,20,21,16,92,757,349,166,3,76,18,94,834,314,160,6,1383,1502,,1,7,,1,,5,,,9,1,1,,9,16
2020-05-19,AC,21,21,17,93,763,350,168,3,80,18,94,845,316,160,6,1394,1519,1,1,6,1,2,,4,,,11,2,,,11,17
2020-05-20,AC,21,21,17,93,770,354,169,3,84,18,97,853,319,161,6,1406,1538,,,7,4,1,,4,,3,8,3,1,,12,19
2020-05-21,AC,21,21,17,93,773,357,170,3,89,18,98,859,323,162,6,1413,1555,,,3,3,1,,5,,1,6,4,1,,7,17
2020-05-22,AC,21,21,17,93,780,358,170,3,91,19,101,866,327,166,7,1421,1577,,,7,1,,,2,1,3,7,4,4,1,8,22
2020-05-23,AC,21,21,17,94,781,361,171,3,100,19,103,875,328,169,7,1427,1601,,1,1,3,1,,9,,2,9,1,3,,6,24
2020-05-24,AC,21,22,17,94,787,364,172,3,101,19,103,882,332,170,7,1437,1614,,,6,3,1,,1,,,7,4,1,,10,13
2020-05-25,AC,21,22,17,95,792,367,173,3,108,19,105,889,334,170,8,1447,1633,,1,5,3,1,,7,,2,7,2,,1,10,19
2020-05-26,AC,22,22,17,96,797,368,176,3,114,19,105,901,334,170,9,1457,1652,,1,5,1,3,,6,,,12,,,1,10,19
2020-05-27,AC,22,22,17,98,803,372,177,3,121,19,106,907,339,170,9,1470,1671,,2,6,4,1,,7,,1,6,5,,,13,19
2020-05-28,AC,22,22,17,98,810,374,178,3,132,20,107,914,340,171,9,1480,1693,,,7,2,1,,11,1,1,7,1,1,,10,22
2020-05-29,AC,22,22,17,100,820,375,181,3,136,20,109,927,343,172,10,1496,1717,,2,10,1,3,,4,,2,13,3,1,1,16,24
2020-05-30,AC,22,22,17,100,825,380,181,3,141,20,110,933,345,173,10,1506,1732,,,5,5,,,5,,1,6,2,1,,10,15
2020-05-31,AC,22,23,18,101,832,382,182,3,146,20,111,940,346,173,11,1518,1747,1,1,7,2,1,,5,,1,7,1,,1,12,15
2020-06-01,AC,22,23,18,101,836,385,182,3,154,20,111,942,348,174,11,1525,1760,,,4,3,,,8,,,2,2,1,,7,13
2020-06-02,AC,23,23,18,101,843,386,183,3,162,20,114,947,348,175,11,1534,1777,,,7,1,1,,8,,3,5,,1,,9,17
2020-06-03,AC,23,23,18,103,845,388,184,3,176,20,115,953,350,175,11,1541,1800,,2,2,2,1,,14,,1,6,2,,,7,23
2020-06-04,AC,23,23,18,105,848,389,186,3,182,20,115,962,352,176,11,1549,1818,,2,3,1,2,,6,,,9,2,1,,8,18
2020-06-05,AC,23,23,18,105,855,392,188,3,189,20,116,973,353,176,11,1561,1838,,,7,3,2,,7,,1,11,1,,,12,20
2020-06-06,AC,23,23,18,107,856,392,188,3,200,20,118,982,355,178,11,1564,1864,,2,1,,,,11,,2,9,2,2,,3,26
2020-06-07,AC,23,24,18,107,860,394,189,3,206,20,118,984,355,179,11,1571,1873,,,4,2,1,,6,,,2,,1,,7,9
2020-06-08,AC,23,24,18,107,870,397,191,3,215,20,119,991,360,182,11,1586,1898,,,10,3,2,,9,,1,7,5,3,,15,25
2020-06-09,AC,24,24,18,109,876,403,193,3,225,20,119,995,364,182,11,1602,1916,,2,6,6,2,,10,,,4,4,,,16,18
2020-06-10,AC,24,24,19,109,879,406,193,3,236,20,119,1002,365,182,11,1609,1935,1,,3,3,,,11,,,7,1,,,7,19
2020-06-11,AC,24,24,20,109,883,406,193,3,243,20,119,1007,369,184,11,1614,1953,1,,4,,,,7,,,5,4,2,,5,18
2020-06-12,AC,24,24,20,110,891,407,194,3,251,20,120,1014,372,186,11,1625,1974,,1,8,1,1,,8,,1,7,3,2,,11,21
2020-06-13,AC,24,24,20,111,895,409,194,3,258,20,123,1021,374,187,11,1632,1994,,1,4,2,,,7,,3,7,2,1,,7,20
2020-06-14,AC,24,25,20,112,898,409,195,3,262,20,123,1028,374,188,11,1637,2006,,1,3,,1,,4,,,7,,1,,5,12
2020-06-15,AC,24,25,20,112,900,412,197,3,269,20,123,1035,377,189,11,1644,2024,,,2,3,2,,7,,,7,3,1,,7,18
2020-06-16,AC,25,25,20,113,903,413,199,3,275,20,124,1041,377,191,11,1651,2039,,1,3,1,2,,6,,1,6,,2,,7,15
2020-06-17,AC,25,25,20,113,908,415,201,3,284,20,125,1047,380,193,11,1660,2060,,,5,2,2,,9,,1,6,3,2,,9,21
2020-06-18,AC,25,25,20,114,913,416,202,3,291,20,125,1050,381,194,11,1668,2072,,1,5,1,1,,7,,,3,1,1,,8,12
2020-06-19,AC,25,25,20,114,917,418,202,3,297,20,126,1057,383,194,11,1674,2088,,,4,2,,,6,,1,7,2,,,6,16
2020-06-20,AC,25,25,20,114,921,421,204,3,309,21,126,1064,385,195,11,1683,2111,,,4,3,2,,12,1,,7,2,1,,9,23
2020-06-21,AC,25,26,20,114,926,424,205,3,312,21,127,1069,388,196,11,1692,2124,,,5,3,1,,3,,1,5,3,1,,9,13
2020-06-22,AC,25,26,20,114,928,425,206,3,317,21,127,1077,390,196,11,1696,2139,,,2,1,1,,5,,,8,2,,,4,15
2020-06-23,AC,26,26,20,115,935,426,207,3,325,21,128,1080,390,196,11,1706,2151,,1,7,1,1,,8,,1,3,,,,10,12
2020-06-24,AC,26,26,20,115,947,428,208,3,329,21,129,1084,390,196,11,1721,2160,,,12,2,1,,4,,1,4,,,,15,9
2020-06-25,AC,26,26,20,116,952,431,210,3,337,21,132,1091,391,198,13,1732,2183,,1,5,3,2,,8,,3,7,1,2,2,11,23
2020-06-26,AC,26,26,20,116,956,434,212,3,346,21,133,1097,392,199,13,1741,2201,,,4,3,2,,9,,1,6,1,1,,9,18
2020-06-27,AC,26,26,20,117,962,437,214,3,352,21,133,1103,393,199,13,1753,2214,,1,6,3,2,,6,,,6,1,,,12,13
2020-06-28,AC,26,27,20,117,967,439,215,3,356,21,134,1108,394,199,13,1761,2225,,,5,2,1,,4,,1,5,1,,,8,11
2020-06-29,AC,26,27,20,117,970,440,216,3,360,21,134,1112,395,199,13,1766,2234,,,3,1,1,,4,,,4,1,,,5,9
2020-06-30,AC,27,27,20,117,981,442,216,3,365,22,134,1118,396,200,13,1779,2248,,,11,2,,,5,1,,6,1,1,,13,14
2020-07-01,AC,27,27,20,121,989,445,218,3,372,22,134,1121,396,202,13,1796,2260,,4,8,3,2,,7,,,3,,2,,17,12
2020-07-02,AC,27,27,20,121,990,448,219,3,381,22,135,1125,396,202,13,1801,2274,,,1,3,1,,9,,1,4,,,,5,14
2020-07-03,AC,27,27,20,123,997,450,221,3,384,22,135,1136,397,204,13,1814,2291,,2,7,2,2,,3,,,11,1,2,,13,17
2020-07-04,AC,27,27,20,123,1001,453,223,3,389,22,137,1144,399,205,13,1823,2309,,,4,3,2,,5,,2,8,2,1,,9,18
2020-07-05,AC,27,28,20,124,1007,455,225,3,393,22,137,1151,400,206,13,1834,2322,,1,6,2,2,,4,,,7,1,1,,11,13
2020-07-06,AC,27,28,20,125,1011,457,227,3,400,22,138,1156,401,207,13,1843,2337,,1,4,2,2,,7,,1,5,1,1,,9,15
2020-07-07,AC,28,28,20,125,1014,457,227,3,403,23,140,1162,402,210,13,1846,2353,,,3,,,,3,1,2,6,1,3,,3,16
2020-07-08,AC,28,28,20,126,1022,461,228,3,410,23,142,1169,402,212,13,1860,2371,,1,8,4,1,,7,,2,7,,2,,14,18
2020-07-09,AC,28,28,20,126,1024,463,232,3,418,23,143,1177,404,215,13,1868,2393,,,2,2,4,,8,,1,8,2,3,,8,22
2020-07-10,AC,28,28,20,127,1029,465,236,3,420,23,143,1182,404,216,13,1880,2401,,1,5,2,4,,2,,,5,,1,,12,8
2020-07-11,AC,28,28,20,129,1033,465,236,3,427,23,144,1187,406,217,14,1886,2418,,2,4,,,,7,,1,5,2,1,1,6,17
2020-07-12,AC,28,29,20,129,1036,466,237,3,431,23,144,1190,407,218,15,1891,2428,,,3,1,1,,4,,,3,1,1,1,5,10
2020-07-13,AC,28,29,20,130,1044,468,237,3,437,23,144,1192,411,220,15,1902,2442,,1,8,2,,,6,,,2,4,2,,11,14
2020-07-14,AC,29,29,20,131,1053,472,238,3,441,23,145,1193,414,220,15,1917,2451,,1,9,4,1,,4,,1,1,3,,,15,9
